description,drink_id
부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,1
부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,1
"[제주지역 한정음료] 제주 천년의 숲 비자림을 연상시키는
음료로 제주에서 유기농 말차로 만든
파우더와 Cold Brew를 활용한 음료.
더욱 시원하고 새로운 Cold Brew를 제주에서 즐겨보세요.",2
"[제주지역 한정음료] 제주 천년의 숲 비자림을 연상시키는
음료로 제주에서 유기농 말차로 만든 파우더와 Cold Brew를 활용한 음료.
더욱 시원하고 새로운 Cold Brew를 제주에서 즐겨보세요.",2
"고소한 코코넛과 정성스레 내린 콜드 브루와의 풍미좋은 만남
코코넛으로 만든 달콤하고 부드러운 크림 폼과 콜드 브루의 감칠맛이 깔끔하게 올라오는,
코코넛 화이트 콜드브루",3
"고소한 코코넛과 정성스레 내린 콜드 브루와의 풍미좋은 만남
코코넛으로 만든 달콤하고 부드러운 크림 폼과 콜드 브루의 감칠맛이 깔끔하게 올라오는,
코코넛 화이트 콜드브루",3
"초콜릿과 견과류의 풍미, 초콜릿 파우더 토핑, 하프&하프 샷
부드럽고 달콤한 새로운 나이트로 콜드 브루",4
"차가운 물로 14시간 동안 서서히 완성된 콜드 브루가 질소와 만나
나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마를 탄생시켰습니다.",4
"[리저브 전용음료] 리저브 콜드 브루, 바닐라 아이스크림, 몰트가 블렌딩된 리저브만의 쉐이크",5
"커피 매스터의 14시간 정성으로 추출한 리저브 콜드 브루와
뉴질랜드산 프리미엄 바닐라 아이스크림 그리고 몰트를 블렌딩한 리저브만의 쉐이크 음료입니다.",5
깔끔하고 상큼함이 특징인 시원한 아이스 커피,6
"케냐, 하우스 블렌드 등 약간의 산미가 있는 커피를 드립 방식으로 추출한 후 얼음과 함께 제공하는 커피 입니다. 아이스 커피로 적합한 프리미엄 원두를 이용하여 깔끔하고 상큼한 맛을 느끼실 수 있습니다.",6
신선하게 브루드(Brewed)되어 원두의 다양함이 살아있는 커피,7
매주 일주일 간격으로 하나의 원두 종류를 선정하여 신선하게 브루드(Brewed)되어 제공되는 드립커피로 원두 커피의 풍부한 맛과 향을 따뜻하게 즐기실 수 있습니다.,7
에스프레소 샷에 풍부한 휘핑크림을 얹은 강렬하고 달콤한 음료,8
"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 동시에 즐기실 수 있습니다.",8